name,country,state,city,logo,rulesets,website,wftdaWebsite,tags,isDeleted,lat,lng
Eindhoven Rockcity Rollers,nl,,"Eindhoven, nl",/img/leagues/WFTDA/eindhoven-rockcity-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/eindhoven-rockcity-rollers/,[],FALSE,51.4392648,5.478633
El Paso Roller Derby,us,,"El Paso, TX, us",/img/leagues/WFTDA/el-paso-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/el-paso-roller-derby/,[],FALSE,31.7601164,-106.4870404
Fairbanks Roller Derby,us,,"Fairbanks, AK, us",/img/leagues/WFTDA/Fairbanks-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/fairbanks-roller-derby/,[],FALSE,64.837845,-147.716675
Fargo Moorhead Derby Girls,us,,"Fargo, ND, us",/img/leagues/WFTDA/fargo-moorhead-derby-girls.png,WFTDA,,https://wftda.com/wftda-leagues/fargo-moorhead-derby-girls/,[],FALSE,46.877229,-96.789821
580 Rollergirls,us,,"Lawton, OK, us",/img/leagues/WFTDA/580-rollergirls.png,WFTDA,,https://wftda.com/wftda-leagues/580-rollergirls/,[],FALSE,34.6086854,-98.3903305
Fredericksburg Roller Derby,us,,"Fredericksburg, VA, us",/img/leagues/WFTDA/Fredericksburg-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/fredericksburg-roller-derby/,[],FALSE,38.3031837,-77.4605399
FoCo Roller Derby,us,,"Fort Collins, CO, us",/img/leagues/WFTDA/foco-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/foco-roller-derby/,[],FALSE,40.5871782,-105.0770113
Fog City Rollers,ca,,"Saint John, NB, ca",/img/leagues/WFTDA/fog-city-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/fog-city-rollers/,[],FALSE,45.2787992,-66.0585188
Fort Myers Roller Derby,us,,"Fort Myers, FL, us",/img/leagues/WFTDA/fort-myers.png,WFTDA,,https://wftda.com/wftda-leagues/fort-myers-roller-derby/,[],FALSE,26.640628,-81.8723084
Fox Cities Roller Derby,us,,"Appleton, WI, us",/img/leagues/WFTDA/fox-cities-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/fox-cities-roller-derby/,[],FALSE,44.2613967,-88.4069744
Fort Wayne Roller Derby,us,,"Fort Wayne, IN, us",/img/leagues/WFTDA/Fort-Wayne-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/fort-wayne-roller-derby/,[],FALSE,41.0799898,-85.1386015
Gainesville Roller Rebels,us,,"Gainesville, FL, us",/img/leagues/WFTDA/gainesville-roller-rebels.png,WFTDA,,https://wftda.com/wftda-leagues/gainesville-roller-rebels/,[],FALSE,29.6519684,-82.3249846
Team Montana Roller Derby,us,,"Bozeman, MT, us",/img/leagues/WFTDA/Team-Montana-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/team-montana-roller-derby/,[],FALSE,45.6794293,-111.044047
Garden State Roller Derby,us,,"North Arlington, NJ, us",/img/leagues/WFTDA/Garden-State-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/garden-state-roller-derby/,[],FALSE,40.788434,-74.1331988
Gem City Roller Derby,us,,"Dayton, OH, us",/img/leagues/WFTDA/gem-city-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/gem-city-roller-derby/,[],FALSE,39.7589478,-84.1916069
Glasgow Roller Derby,gb,,"Glasgow, Scotland, gb",/img/leagues/WFTDA/glasgow-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/glasgow-roller-derby/,[],FALSE,55.861155,-4.2501687
Glass City Rollers,us,,"Toledo, OH, us",/img/leagues/WFTDA/glass-city-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/glass-city-rollers/,[],FALSE,41.6529143,-83.5378173
Gold Coast Derby Grrls,us,,"Fort Lauderdale, FL, us",/img/leagues/WFTDA/Gold-Coast-Derby-Grrls.png,WFTDA,,https://wftda.com/wftda-leagues/gold-coast-derby-grrls/,[],FALSE,26.1223084,-80.1433786
Gotham Roller Derby,us,,"New York, NY, us",/img/leagues/WFTDA/Gotham-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/gotham-roller-derby/,[],FALSE,40.7127281,-74.0060152
Gothenburg Roller Derby,se,,"Gothenburg, se",/img/leagues/WFTDA/gothenburg-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/gothenburg-roller-derby/,[],FALSE,57.7072326,11.9670171
Grand Raggidy Roller Derby,us,,"Grand Rapids, MI, us",/img/leagues/WFTDA/grand-raggidy-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/grand-raggidy-roller-derby/,[],FALSE,42.9632425,-85.6678639
